food_group,food_group_name,RC1,RC2,h2,u2
1,Refined grains,0.13,0.31,0.074,0.93
2,Whole grains,0.2,0.48,0.176,0.82
3,Tubers and roots,0.02,0.61,0.36,0.64
4,Noodles,0.77,0.07,0.554,0.45
5,Rice cakes,0.33,0.26,0.261,0.74
6,Bread,0.63,0.14,0.332,0.67
7,Cereals and snacks,0.57,0.19,0.259,0.74
8,Pizza and hamburger,0.77,0,0.592,0.41
9,Cakes and sweets,0.67,0.15,0.562,0.44
10,Legumes,0.01,0.37,0.135,0.87
11,Tofu and soy milk,0.06,0.6,0.399,0.6
12,Nuts and seeds,0.12,0.45,0.273,0.73
13,Red meat,0.53,0.33,0.563,0.44
14,Meat by-products,0.67,0.11,0.528,0.47
15,Processed meat,0.64,0.04,0.389,0.61
16,Poultry,0.59,0.17,0.475,0.52
17,Fish,0.16,0.62,0.503,0.5
18,Seafood products,0.49,0.12,0.313,0.69
19,Other seafood,0.36,0.43,0.456,0.54
20,Salted fermented seafood,0.36,0.48,0.53,0.47
21,Seaweeds,0.12,0.68,0.394,0.61
22,Eggs,0.19,0.29,0.175,0.82
23,Milk,0.04,0.21,0.055,0.95
24,Dairy Products,0.23,0.39,0.29,0.71
25,Fruits,0.02,0.59,0.363,0.64
26,Fruit products,0.13,0.42,0.24,0.76
27,Green and yellow vegetables,0.1,0.78,0.702,0.3
28,Light-colored vegetables,0.24,0.72,0.75,0.25
29,Pickled vegetables,0.12,0.54,0.239,0.76
30,Kimchi,0.33,0.65,0.318,0.68
31,Mushrooms,0.34,0.52,0.552,0.45
32,Oil and fat,0.66,0.21,0.612,0.39
33,Condiments and seasonings,0.18,0.69,0.629,0.37
34,Carbonated beverages,0.48,0.16,0.179,0.82
35,Coffee and tea,0.22,0.14,0.096,0.9
36,Alcohol,0.66,0.18,0.589,0.41
